error,rounds
1721,0.496138
1725,0.496127
1729,0.496116
1733,0.496105
1737,0.496094
1741,0.496082
1745,0.496071
1749,0.49606
1753,0.496048
1757,0.496037
1761,0.496026
1765,0.496014
1769,0.496003
1773,0.495991
1777,0.49598
1781,0.495968
1785,0.495957
1789,0.495945
1793,0.495933
1797,0.495922
1801,0.49591
1805,0.495898
1809,0.495886
1813,0.495874
1817,0.495863
1821,0.495851
1825,0.495839
1829,0.495827
1833,0.495815
1837,0.495803
1841,0.495791
1845,0.495779
1849,0.495767
1853,0.495754
1857,0.495742
1861,0.49573
1865,0.495718
1869,0.495705
1873,0.495693
1877,0.495681
1881,0.495668
1885,0.495656
1889,0.495644
1893,0.495631
1897,0.495619
1901,0.495606
1905,0.495593
1909,0.495581
1913,0.495568
1917,0.495555
1921,0.495543
1925,0.49553
1929,0.495517
1933,0.495504
1937,0.495491
1941,0.495479
1945,0.495466
1949,0.495453
1953,0.49544
1957,0.495427
1961,0.495414
1965,0.4954
1969,0.495387
1973,0.495374
1977,0.495361
1981,0.495348
1985,0.495334
1989,0.495321
1993,0.495308
1997,0.495294
2001,0.495281
2005,0.495267
2009,0.495254
2013,0.49524
2017,0.495227
2021,0.495213
2025,0.4952
2029,0.495186
2033,0.495172
2037,0.495158
2041,0.495145
2045,0.495131
2049,0.495117
2053,0.495103
2057,0.495089
2061,0.495075
2065,0.495061
2069,0.495047
2073,0.495033
2077,0.495019
2081,0.495005
2085,0.494991
2089,0.494976
2093,0.494962
2097,0.494948
2101,0.494933
2105,0.494919
2109,0.494905
2113,0.49489
2117,0.494876
2121,0.494861
2125,0.494846
2129,0.494832
2133,0.494817
2137,0.494802
2141,0.494788
2145,0.494773
2149,0.494758
2153,0.494743
2157,0.494728
2161,0.494713
2165,0.494698
2169,0.494683
2173,0.494668
2177,0.494653
2181,0.494638
2185,0.494623
2189,0.494608
2193,0.494593
2197,0.494577
2201,0.494562
2205,0.494547
2209,0.494531
2213,0.494516
2217,0.4945
2221,0.494485
2225,0.494469
2229,0.494453
2233,0.494438
2237,0.494422
2241,0.494406
2245,0.494391
2249,0.494375
2253,0.494359
2257,0.494343
2261,0.494327
2265,0.494311
2269,0.494295
2273,0.494279
2277,0.494263
2281,0.494247
2285,0.49423
2289,0.494214
2293,0.494198
2297,0.494182
2301,0.494165
2305,0.494149
2309,0.494132
2313,0.494116
2317,0.494099
2321,0.494083
2325,0.494066
2329,0.494049
2333,0.494033
2337,0.494016
2341,0.493999
2345,0.493982
2349,0.493965
2353,0.493948
2357,0.493931
2361,0.493914
2365,0.493897
2369,0.49388
2373,0.493863
2377,0.493846
2381,0.493829
2385,0.493811
2389,0.493794
2393,0.493777
2397,0.493759
2401,0.493742
2405,0.493724
2409,0.493707
2413,0.493689
2417,0.493671
2421,0.493654
2425,0.493636
2429,0.493618
2433,0.4936
2437,0.493582
2441,0.493564
2445,0.493546
2449,0.493528
2453,0.49351
2457,0.493492
2461,0.493474
2465,0.493456
2469,0.493438
2473,0.493419
2477,0.493401
2481,0.493383
2485,0.493364
2489,0.493346
2493,0.493327
2497,0.493309
2501,0.49329
2505,0.493271
2509,0.493253
2513,0.493234
2517,0.493215
2521,0.493196
2525,0.493177
2529,0.493158
2533,0.493139
2537,0.49312
2541,0.493101
2545,0.493082
2549,0.493063
2553,0.493043
2557,0.493024
2561,0.493005
2565,0.492985
2569,0.492966
2573,0.492946
2577,0.492927
2581,0.492907
2585,0.492888
2589,0.492868
2593,0.492848
2597,0.492828
2601,0.492808
2605,0.492789
2609,0.492769
2613,0.492749
2617,0.492729
2621,0.492708
2625,0.492688
2629,0.492668
2633,0.492648
2637,0.492628
2641,0.492607
2645,0.492587
2649,0.492566
2653,0.492546
2657,0.492525
2661,0.492505
2665,0.492484
2669,0.492463
2673,0.492443
2677,0.492422
2681,0.492401
2685,0.49238
2689,0.492359
2693,0.492338
2697,0.492317
2701,0.492296
2705,0.492274
2709,0.492253
2713,0.492232
2717,0.492211
2721,0.492189
2725,0.492168
2729,0.492146
2733,0.492125
2737,0.492103
2741,0.492081
2745,0.49206
2749,0.492038
2753,0.492016
2757,0.491994
2761,0.491972
2765,0.49195
2769,0.491928
2773,0.491906
2777,0.491884
2781,0.491862
2785,0.49184
2789,0.491817
2793,0.491795
2797,0.491773
2801,0.49175
2805,0.491728
2809,0.491705
2813,0.491682
2817,0.49166
2821,0.491637
2825,0.491614
2829,0.491591
2833,0.491568
2837,0.491545
2841,0.491522
2845,0.491499
2849,0.491476
2853,0.491453
2857,0.49143
2861,0.491406
2865,0.491383
2869,0.491359
2873,0.491336
2877,0.491312
2881,0.491289
2885,0.491265
2889,0.491241
2893,0.491218
2897,0.491194
2901,0.49117
2905,0.491146
2909,0.491122
2913,0.491098
2917,0.491074
2921,0.49105
2925,0.491025
2929,0.491001
2933,0.490977
2937,0.490952
2941,0.490928
2945,0.490903
2949,0.490879
2953,0.490854
2957,0.49083
2961,0.490805
2965,0.49078
2969,0.490755
2973,0.49073
2977,0.490705
2981,0.49068
2985,0.490655
2989,0.49063
2993,0.490605
2997,0.490579
3001,0.490554
3005,0.490529
3009,0.490503
3013,0.490477
3017,0.490452
3021,0.490426
3025,0.490401
3029,0.490375
3033,0.490349
3037,0.490323
3041,0.490297
3045,0.490271
3049,0.490245
3053,0.490219
3057,0.490193
3061,0.490166
3065,0.49014
3069,0.490114
3073,0.490087
3077,0.490061
3081,0.490034
3085,0.490007
3089,0.489981
3093,0.489954
3097,0.489927
3101,0.4899
3105,0.489873
3109,0.489846
3113,0.489819
3117,0.489792
3121,0.489765
3125,0.489738
3129,0.48971
3133,0.489683
3137,0.489655
3141,0.489628
3145,0.4896
3149,0.489573
3153,0.489545
3157,0.489517
3161,0.489489
3165,0.489461
3169,0.489433
3173,0.489405
3177,0.489377
3181,0.489349
3185,0.489321
3189,0.489292
3193,0.489264
3197,0.489236
3201,0.489207
3205,0.489179
3209,0.48915
3213,0.489121
3217,0.489093
3221,0.489064
3225,0.489035
3229,0.489006
3233,0.488977
3237,0.488948
3241,0.488919
3245,0.488889
3249,0.48886
3253,0.488831
3257,0.488801
3261,0.488772
3265,0.488742
3269,0.488713
3273,0.488683
3277,0.488653
3281,0.488623
3285,0.488594
3289,0.488564
3293,0.488534
3297,0.488503
3301,0.488473
3305,0.488443
3309,0.488413
3313,0.488382
3317,0.488352
3321,0.488321
3325,0.488291
3329,0.48826
3333,0.48823
3337,0.488199
3341,0.488168
3345,0.488137
3349,0.488106
3353,0.488075
3357,0.488044
3361,0.488013
3365,0.487981
3369,0.48795
3373,0.487919
3377,0.487887
3381,0.487856
3385,0.487824
3389,0.487792
3393,0.487761
3397,0.487729
3401,0.487697
3405,0.487665
3409,0.487633
3413,0.487601
3417,0.487569
3421,0.487536
3425,0.487504
3429,0.487472
3433,0.487439
3437,0.487407
3441,0.487374
3445,0.487341
3449,0.487309
3453,0.487276
3457,0.487243
3461,0.48721
3465,0.487177
3469,0.487144
3473,0.487111
3477,0.487077
3481,0.487044
3485,0.487011
3489,0.486977
3493,0.486944
3497,0.48691
3501,0.486876
3505,0.486842
3509,0.486809
3513,0.486775
3517,0.486741
3521,0.486707
3525,0.486673
3529,0.486638
3533,0.486604
3537,0.48657
3541,0.486535
3545,0.486501
3549,0.486466
3553,0.486431
3557,0.486397
3561,0.486362
3565,0.486327
3569,0.486292
3573,0.486257
3577,0.486222
3581,0.486187
3585,0.486152
3589,0.486116
3593,0.486081
3597,0.486045
3601,0.48601
3605,0.485974
3609,0.485938
3613,0.485903
3617,0.485867
3621,0.485831
3625,0.485795
3629,0.485759
3633,0.485723
3637,0.485686
3641,0.48565
3645,0.485614
3649,0.485577
3653,0.48554
3657,0.485504
3661,0.485467
3665,0.48543
3669,0.485393
3673,0.485357
3677,0.485319
3681,0.485282
3685,0.485245
3689,0.485208
3693,0.485171
3697,0.485133
3701,0.485096
3705,0.485058
3709,0.48502
3713,0.484983
3717,0.484945
3721,0.484907
3725,0.484869
3729,0.484831
3733,0.484793
3737,0.484755
3741,0.484716
3745,0.484678
3749,0.48464
3753,0.484601
3757,0.484562
3761,0.484524
3765,0.484485
3769,0.484446
3773,0.484407
3777,0.484368
3781,0.484329
3785,0.48429
3789,0.484251
3793,0.484211
3797,0.484172
3801,0.484132
3805,0.484093
3809,0.484053
3813,0.484013
3817,0.483974
3821,0.483934
3825,0.483894
3829,0.483854
3833,0.483813
3837,0.483773
3841,0.483733
3845,0.483692
3849,0.483652
3853,0.483611
3857,0.483571
3861,0.48353
3865,0.483489
3869,0.483448
3873,0.483407
3877,0.483366
3881,0.483325
3885,0.483284
3889,0.483243
3893,0.483201
3897,0.48316
3901,0.483118
3905,0.483076
3909,0.483035
3913,0.482993
3917,0.482951
3921,0.482909
3925,0.482867
3929,0.482825
3933,0.482782
3937,0.48274
3941,0.482698
3945,0.482655
3949,0.482613
3953,0.48257
3957,0.482527
3961,0.482484
3965,0.482441
3969,0.482398
3973,0.482355
3977,0.482312
3981,0.482269
3985,0.482225
3989,0.482182
3993,0.482138
3997,0.482095
4001,0.482051
4005,0.482007
4009,0.481963
4013,0.481919
4017,0.481875
4021,0.481831
4025,0.481787
4029,0.481743
4033,0.481698
4037,0.481654
4041,0.481609
4045,0.481564
4049,0.48152
4053,0.481475
4057,0.48143
4061,0.481385
4065,0.48134
4069,0.481294
4073,0.481249
4077,0.481204
4081,0.481158
4085,0.481113
4089,0.481067
4093,0.481021
4097,0.480975
4101,0.48093
4105,0.480883
4109,0.480837
4113,0.480791
4117,0.480745
4121,0.480699
4125,0.480652
4129,0.480605
4133,0.480559
4137,0.480512
4141,0.480465
4145,0.480418
4149,0.480371
4153,0.480324
4157,0.480277
4161,0.48023
4165,0.480182
4169,0.480135
4173,0.480087
4177,0.48004
4181,0.479992
4185,0.479944
4189,0.479896
4193,0.479848
4197,0.4798
4201,0.479752
4205,0.479703
4209,0.479655
4213,0.479606
4217,0.479558
4221,0.479509
4225,0.47946
4229,0.479412
4233,0.479363
4237,0.479313
4241,0.479264
4245,0.479215
4249,0.479166
4253,0.479116
4257,0.479067
4261,0.479017
4265,0.478967
4269,0.478918
4273,0.478868
4277,0.478818
4281,0.478768
4285,0.478717
4289,0.478667
4293,0.478617
4297,0.478566
4301,0.478516
4305,0.478465
4309,0.478414
4313,0.478363
4317,0.478312
4321,0.478261
4325,0.47821
4329,0.478159
4333,0.478108
4337,0.478056
4341,0.478005
4345,0.477953
4349,0.477901
4353,0.477849
4357,0.477797
4361,0.477745
4365,0.477693
4369,0.477641
4373,0.477589
4377,0.477536
4381,0.477484
4385,0.477431
4389,0.477378
4393,0.477326
4397,0.477273
4401,0.47722
4405,0.477167
4409,0.477113
4413,0.47706
4417,0.477007
4421,0.476953
4425,0.476899
4429,0.476846
4433,0.476792
4437,0.476738
4441,0.476684
4445,0.47663
4449,0.476576
4453,0.476521
4457,0.476467
4461,0.476412
4465,0.476358
4469,0.476303
4473,0.476248
4477,0.476193
4481,0.476138
4485,0.476083
4489,0.476028
4493,0.475973
4497,0.475917
4501,0.475862
4505,0.475806
4509,0.47575
4513,0.475695
4517,0.475639
4521,0.475583
4525,0.475527
4529,0.47547
4533,0.475414
4537,0.475357
4541,0.475301
4545,0.475244
4549,0.475188
4553,0.475131
4557,0.475074
4561,0.475017
4565,0.474959
4569,0.474902
4573,0.474845
4577,0.474787
4581,0.47473
4585,0.474672
4589,0.474614
4593,0.474556
4597,0.474498
4601,0.47444
4605,0.474382
4609,0.474324
4613,0.474265
4617,0.474207
4621,0.474148
4625,0.474089
4629,0.474031
4633,0.473972
4637,0.473913
4641,0.473853
4645,0.473794
4649,0.473735
4653,0.473675
4657,0.473616
4661,0.473556
4665,0.473496
4669,0.473436
4673,0.473376
4677,0.473316
4681,0.473256
4685,0.473195
4689,0.473135
4693,0.473074
4697,0.473014
4701,0.472953
4705,0.472892
4709,0.472831
4713,0.47277
4717,0.472709
4721,0.472648
4725,0.472586
4729,0.472525
4733,0.472463
4737,0.472401
4741,0.472339
4745,0.472277
4749,0.472215
4753,0.472153
4757,0.472091
4761,0.472029
4765,0.471966
4769,0.471903
4773,0.471841
4777,0.471778
4781,0.471715
4785,0.471652
4789,0.471589
4793,0.471525
4797,0.471462
4801,0.471398
4805,0.471335
4809,0.471271
4813,0.471207
4817,0.471143
4821,0.471079
4825,0.471015
4829,0.470951
4833,0.470886
4837,0.470822
4841,0.470757
4845,0.470693
4849,0.470628
4853,0.470563
4857,0.470498
4861,0.470433
4865,0.470367
4869,0.470302
4873,0.470236
4877,0.470171
4881,0.470105
4885,0.470039
4889,0.469973
4893,0.469907
4897,0.469841
4901,0.469775
4905,0.469708
4909,0.469642
4913,0.469575
4917,0.469508
4921,0.469441
4925,0.469374
4929,0.469307
4933,0.46924
4937,0.469173
4941,0.469105
4945,0.469038
4949,0.46897
4953,0.468902
4957,0.468834
4961,0.468766
4965,0.468698
4969,0.46863
4973,0.468562
4977,0.468493
4981,0.468425
4985,0.468356
4989,0.468287
4993,0.468218
4997,0.468149
5001,0.46808
5005,0.468011
5009,0.467941
5013,0.467872
5017,0.467802
5021,0.467732
5025,0.467662
5029,0.467593
5033,0.467522
5037,0.467452
5041,0.467382
5045,0.467311
5049,0.467241
5053,0.46717
5057,0.467099
5061,0.467028
5065,0.466957
5069,0.466886
5073,0.466815
5077,0.466744
5081,0.466672
5085,0.4666
5089,0.466529
5093,0.466457
5097,0.466385
5101,0.466313
5105,0.46624
5109,0.466168
5113,0.466096
5117,0.466023
5121,0.46595
5125,0.465878
5129,0.465805
5133,0.465732
5137,0.465658
5141,0.465585
5145,0.465512
5149,0.465438
5153,0.465365
5157,0.465291
5161,0.465217
5165,0.465143
5169,0.465069
5173,0.464995
5177,0.46492
5181,0.464846
5185,0.464771
5189,0.464696
5193,0.464622
5197,0.464547
5201,0.464471
5205,0.464396
5209,0.464321
5213,0.464245
5217,0.46417
5221,0.464094
5225,0.464018
5229,0.463942
5233,0.463866
5237,0.46379
5241,0.463714
5245,0.463638
5249,0.463561
5253,0.463484
5257,0.463408
5261,0.463331
5265,0.463254
5269,0.463176
5273,0.463099
5277,0.463022
5281,0.462944
5285,0.462867
5289,0.462789
5293,0.462711
5297,0.462633
5301,0.462555
5305,0.462477
5309,0.462398
5313,0.46232
5317,0.462241
5321,0.462162
5325,0.462084
5329,0.462005
5333,0.461926
5337,0.461846
5341,0.461767
5345,0.461687
5349,0.461608
5353,0.461528
5357,0.461448
5361,0.461368
5365,0.461288
5369,0.461208
5373,0.461128
5377,0.461047
5381,0.460967
5385,0.460886
5389,0.460805
5393,0.460724
5397,0.460643
5401,0.460562
5405,0.460481
5409,0.460399
5413,0.460318
5417,0.460236
5421,0.460154
5425,0.460072
5429,0.45999
5433,0.459908
5437,0.459826
5441,0.459743
5445,0.459661
5449,0.459578
5453,0.459495
5457,0.459412
5461,0.459329
5465,0.459246
5469,0.459163
5473,0.459079
5477,0.458996
5481,0.458912
5485,0.458828
5489,0.458744
5493,0.45866
5497,0.458576
5501,0.458492
5505,0.458407
5509,0.458323
5513,0.458238
5517,0.458153
5521,0.458068
5525,0.457983
5529,0.457898
5533,0.457813
5537,0.457728
5541,0.457642
5545,0.457556
5549,0.457471
5553,0.457385
5557,0.457299
5561,0.457212
5565,0.457126
5569,0.45704
5573,0.456953
5577,0.456867
5581,0.45678
5585,0.456693
5589,0.456606
5593,0.456519
5597,0.456431
5601,0.456344
5605,0.456256
5609,0.456169
5613,0.456081
5617,0.455993
5621,0.455905
5625,0.455817
5629,0.455729
5633,0.45564
5637,0.455552
5641,0.455463
5645,0.455374
5649,0.455285
5653,0.455196
5657,0.455107
5661,0.455018
5665,0.454928
5669,0.454839
5673,0.454749
5677,0.454659
5681,0.454569
5685,0.454479
5689,0.454389
5693,0.454299
5697,0.454209
5701,0.454118
5705,0.454027
5709,0.453937
5713,0.453846
5717,0.453755
5721,0.453664
5725,0.453572
5729,0.453481
5733,0.453389
5737,0.453298
5741,0.453206
5745,0.453114
5749,0.453022
5753,0.45293
5757,0.452838
5761,0.452745
5765,0.452653
5769,0.45256
5773,0.452467
5777,0.452374
5781,0.452281
5785,0.452188
5789,0.452095
5793,0.452002
5797,0.451908
5801,0.451814
5805,0.451721
5809,0.451627
5813,0.451533
5817,0.451439
5821,0.451344
5825,0.45125
5829,0.451156
5833,0.451061
5837,0.450966
5841,0.450871
5845,0.450776
5849,0.450681
5853,0.450586
5857,0.450491
5861,0.450395
5865,0.4503
5869,0.450204
5873,0.450108
5877,0.450012
5881,0.449916
5885,0.44982
5889,0.449723
5893,0.449627
5897,0.44953
5901,0.449434
5905,0.449337
5909,0.44924
5913,0.449143
5917,0.449046
5921,0.448948
5925,0.448851
5929,0.448753
5933,0.448656
5937,0.448558
5941,0.44846
5945,0.448362
5949,0.448264
5953,0.448165
5957,0.448067
5961,0.447968
5965,0.44787
5969,0.447771
5973,0.447672
5977,0.447573
5981,0.447474
5985,0.447375
5989,0.447275
5993,0.447176
5997,0.447076
6001,0.446976
6005,0.446877
6009,0.446777
6013,0.446677
6017,0.446576
6021,0.446476
6025,0.446376
6029,0.446275
6033,0.446174
6037,0.446073
6041,0.445973
6045,0.445872
6049,0.44577
6053,0.445669
6057,0.445568
6061,0.445466
6065,0.445365
6069,0.445263
6073,0.445161
6077,0.445059
6081,0.444957
6085,0.444855
6089,0.444752
6093,0.44465
6097,0.444547
6101,0.444445
6105,0.444342
6109,0.444239
6113,0.444136
